cohort,cohort_first_order_in_homes,first_month,commitment,non_commitment,price_bucket_0_60,price_bucket_61_97,price_bucket_90_inf,known_price_commitment,unknown_price_commitment
18,5/8/17,5,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
19,5/15/17,5,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
20,5/22/17,5,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
21,5/29/17,5,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
22,6/5/17,6,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
23,6/12/17,6,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
24,6/19/17,6,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
25,6/26/17,6,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
27,7/10/17,7,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
28,7/17/17,7,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
29,7/24/17,7,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
30,7/31/17,7,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
31,8/7/17,8,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
32,8/14/17,8,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
33,8/21/17,8,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
34,8/28/17,8,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
35,9/4/17,9,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
36,9/11/17,9,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
37,9/18/17,9,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
38,9/25/17,9,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
39,10/2/17,10,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
40,10/9/17,10,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
41,10/16/17,10,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
42,10/23/17,10,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
43,10/30/17,10,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
44,11/6/17,11,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
45,11/13/17,11,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
46,11/20/17,11,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
47,11/27/17,11,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
48,12/4/17,12,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
49,12/11/17,12,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
50,12/18/17,12,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
51,12/25/17,12,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
52,1/1/18,1,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
53,1/8/18,1,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
54,1/15/18,1,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
55,1/22/18,1,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
56,1/29/18,1,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
57,2/5/18,2,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
58,2/12/18,2,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
59,2/19/18,2,0.90000000000000,0.10000000000000,0.33000000000000,0.33000000000000,0.34000000000000,0.99000000000000,0.01000000000000
